avg_size,edge_collisions,entropy_loss,episodes,policy_entropy,policy_loss,reward_rate,self_collisions,steps,t,value_loss
12.55859375,0.005859375,-0.07735047489404678,4304303,0.06978549063205719,-0.21009469032287598,19.5078125,0.01171875,110182400,7711.942281246185,0.35792842507362366
13.001953125,0.005859375,-0.07938960194587708,4304686,0.0881803035736084,-0.03613056614995003,26.5390625,0.00390625,110233600,7715.260532617569,0.3592241406440735
13.041015625,0.005859375,-0.07774880528450012,4305081,0.07278253138065338,-0.1950760781764984,20.09375,0.005859375,110284800,7719.078516244888,0.3483515679836273
12.50390625,0.0,-0.07902854681015015,4305507,0.0567547008395195,-0.2539466619491577,22.4375,0.0,110336000,7722.423210859299,0.3531323969364166
12.65234375,0.005859375,-0.07590479403734207,4305920,0.08435598015785217,-0.03380310907959938,18.140625,0.001953125,110387200,7726.279338359833,0.35345619916915894
12.552734375,0.009765625,-0.07885045558214188,4306347,0.0773407593369484,-0.1126011535525322,18.53125,0.001953125,110438400,7729.633903264999,0.3485345244407654
12.703125,0.001953125,-0.08023656904697418,4306761,0.07486387342214584,-0.19791746139526367,23.8046875,0.00390625,110489600,7733.486480474472,0.3498426079750061
13.033203125,0.005859375,-0.08135443925857544,4307150,0.08488859981298447,-0.0031849786173552275,20.484375,0.001953125,110540800,7736.864089012146,0.356550395488739
13.302734375,0.005859375,-0.07816240936517715,4307540,0.09725365042686462,-0.13121715188026428,19.3125,0.005859375,110592000,7740.722312927246,0.35256892442703247
12.201171875,0.005859375,-0.07688082754611969,4307983,0.06451451033353806,-0.2659320831298828,22.2421875,0.0,110643200,7744.077123165131,0.36276865005493164
12.185546875,0.001953125,-0.07368791103363037,4308392,0.08590461313724518,-0.14970622956752777,24.390625,0.005859375,110694400,7747.89871430397,0.3603208661079407
12.30859375,0.001953125,-0.0739532858133316,4308820,0.062186311930418015,-0.011895979754626751,21.8515625,0.01171875,110745600,7751.22704911232,0.3647844195365906
